species,common_name,date_time,lon,lat
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.566803,0.733472
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,52.816803,1.216806
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,52.866802,2.750139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,61.716805,-4.733472
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,90,10
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,42.5,-20
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.450138,1.400139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.53347,1.633472
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.633472,1.716806
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,48.98347,-2.133472
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,52.300137,-1.800139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,52.366802,-1.666806
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,53.350136,-3.250139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.566803,-2.700139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.566803,-2.700139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.566803,-2.700139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.566803,-2.700139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.43347,-1.300139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.43347,-1.300139
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.33347,-2.466806
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.33347,-2.466806
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.33347,-2.466806
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.33347,-2.466806
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.33347,-2.466806
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,40.788083,-12.217997
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,41.85513,-15.016817
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,34.285133,-26.3521
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,36.033563,-24.938953
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.285133,0.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,101.234733,-7.5031
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,101.234733,-7.5031
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,101.234733,-7.5031
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,99.838333,-7.016867
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,99.838333,-7.016867
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,99.838393,-5.486303
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,99.771347,-6.469487
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,99.771347,-6.469487
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,99.067067,-5.838333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,98.2013,-5.536543
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,98.2013,-5.536543
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,90.586853,-7.65397
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,91.620467,-5.134133
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,93.033583,-3.687533
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,91.871947,-4.0503
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,91.871947,-4.0503
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,90.888663,-4.2013
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,89.737803,-5.419187
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,85.083873,-5.637183
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,84.167767,-5.536563
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,83.670667,-6.436033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,58.938933,2.2013
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,89.2013,4.888633
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,85.016767,3.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,85.016767,3.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,91.570167,2.1007
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,85.586933,4.8048
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.2012,2.335333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.2012,2.335333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,81.771367,1.167667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,104.721067,-11.721067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.117467,-9.6037
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,62.268277,4.40244
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,66.922227,-0.016807
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.838333,-4.7545
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.6037,-0.503
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.6037,-0.503
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,44.7042,-4.737733
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.2516,0.519767
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.419267,1.385633
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.838433,2.2012
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.9557,0.4527
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.0504,0.469567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.0504,0.469567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.0504,0.469567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.0504,0.469567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,58,-0.687433
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,53.033533,-0.4527
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.033583,0.419187
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.3019,-9.771267
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,65.016867,7.335333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.989233,0.519767
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.989233,0.519767
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.721007,0.50305
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.972537,0.40243
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.9558,0.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.9558,0.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.083913,-1.20128
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.167667,0.1006
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.217967,2.972527
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.9557,2.335333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,64.45275,-3
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.788083,-3.721067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.788083,-3.721067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,61.2516,-12.469477
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,61.486333,-9.335393
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,62.285133,-10.3019
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,62.0001,-11.821567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,62.9055,-12.016867
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,69.335333,-4.570167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.419267,-11.385633
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.335333,-9.670667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
