gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
919317192	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:140919_213834_0	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus (Poey, 1861)		US	Mala Pier		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	20.8857	-156.688	100.0		0.0	0.0	4.18	4.18	2014-06-02T14:58Z	2	6	2014	2418052	2418052	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:140919_213834_0		Rdv	2014-06-02T00:00:00	CC_BY_NC_4_0	Diveboard	Rdv			2024-01-24T19:13:53.056Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
911440686	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:129115_213834_0	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus (Poey, 1861)		MV	Filitheyo House Reef		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	3.21529	73.0368	100.0		0.0	0.0	9.0	9.0	2014-04-12T14:30Z	12	4	2014	2418052	2418052	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:129115_213834_0		Miss Mobula	2014-04-12T00:00:00	CC_BY_NC_4_0	Diveboard	Miss Mobula			2024-01-24T19:14:04.452Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
911440138	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:129116_213834_0	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus (Poey, 1861)		MV	Filitheyo House Reef		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	3.21529	73.0368	100.0		0.0	0.0	15.0	15.0	2014-04-13T14:30Z	13	4	2014	2418052	2418052	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:129116_213834_0		Miss Mobula	2014-04-13T00:00:00	CC_BY_NC_4_0	Diveboard	Miss Mobula			2024-01-24T19:13:56.231Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
90122494	8598edb6-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus	Poey	MG	Madagascar Island		PRESENT		ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	-20.383333	44.216666											2418052	2418052	OCCURRENCE	NCL	INDOBIS-DATASET1	39839				CC_BY_4_0					2024-02-23T11:02:53.543Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
893351722	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:117575_213834_0	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus (Poey, 1861)		US	Molokini Crater		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	20.6336	-156.497	100.0		0.0	0.0	12.5	12.5	2013-03-15T07:18Z	15	3	2013	2418052	2418052	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:117575_213834_0		Milan Sreckovic	2013-03-15T00:00:00	CC_BY_NC_4_0	Diveboard	Milan Sreckovic			2024-01-24T19:14:01.503Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
893351717	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:117574_213834_0	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus (Poey, 1861)		US	Makena Landing		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	20.654	-156.441	100.0		0.0	0.0	4.0	4.0	2013-03-13T10:23Z	13	3	2013	2418052	2418052	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:117574_213834_0		Milan Sreckovic	2013-03-13T00:00:00	CC_BY_NC_4_0	Diveboard	Milan Sreckovic			2024-01-24T19:13:58.387Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
893351692	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:117573_213834_0	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus (Poey, 1861)		US	Makena Landing		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	20.654	-156.441	100.0		0.0	0.0	5.0	5.0	2013-03-13T09:03Z	13	3	2013	2418052	2418052	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:117573_213834_0		Milan Sreckovic	2013-03-13T00:00:00	CC_BY_NC_4_0	Diveboard	Milan Sreckovic			2024-01-24T19:14:03.578Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
890045938	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:113600_213834_0	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus (Poey, 1861)		MV	Bandos Rock		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	4.27244	73.4927	100.0		0.0	0.0	10.645	10.645	2014-01-08T09:46Z	8	1	2014	2418052	2418052	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:113600_213834_0		Nidal	2014-01-08T00:00:00	CC_BY_NC_4_0	Diveboard	Nidal			2024-01-24T19:14:01.535Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
890045785	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:114081_213834_0	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus (Poey, 1861)		US	Big Arch		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	19.6896	-156.039	100.0		0.0	0.0	7.47	7.47	2014-01-18T11:30Z	18	1	2014	2418052	2418052	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:114081_213834_0		Kenny Hall	2014-01-18T00:00:00	CC_BY_NC_4_0	Diveboard	Kenny Hall			2024-01-24T19:13:55.451Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
890045672	66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2	diveboard:111022_213834_0	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus		SPECIES	Carcharhinus longimanus (Poey, 1861)	Carcharhinus longimanus (Poey, 1861)		US	Magic Island		PRESENT		1989b627-2a61-44db-83e4-392efc5da0a9	21.283	-157.846	100.0		0.0	0.0	4.51	4.51	2013-12-31T15:59Z	31	12	2013	2418052	2418052	HUMAN_OBSERVATION	Diveboard	Diveboard	diveboard:111022_213834_0		Jamie M	2013-12-31T00:00:00	CC_BY_NC_4_0	Diveboard	Jamie M			2024-01-24T19:14:03.219Z		COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
