ANIMALID,DATE,LONGITUDE,LATITUDE,ARGOSCLASS
M-130,2017-03-28T20:30:00Z,73.3491333,2.3949,3
M-130,2017-03-30T10:10:16Z,73.36305556,2.396666667,2
M-130,2017-03-31T06:54:54Z,73.365,2.408333333,B
M-130,2017-04-04T19:40:00Z,73.3491333,2.3949,3
M-130,2017-04-05T07:37:12Z,73.34472222,2.425555556,3
M-130,2017-04-07T08:51:29Z,73.24083333,2.32,B
M-130,2017-04-09T14:44:28Z,73.25944444,2.306666667,B
M-130,2017-04-14T20:32:30Z,73.27638889,2.415,B
M-130,2017-04-14T20:43:05Z,73.20944444,2.381944444,2
M-130,2017-04-15T19:23:08Z,73.21361111,2.374722222,2
M-130,2017-04-15T19:47:22Z,73.2075,2.37,1
M-130,2017-04-15T20:16:03Z,73.22277778,2.37,1
M-130,2017-04-15T20:18:04Z,73.22277778,2.37,B
M-130,2017-04-16T19:21:14Z,73.20944444,2.368611111,B
M-130,2017-04-16T22:27:25Z,73.20972222,2.368055556,B
M-130,2017-04-17T17:22:59Z,73.14611111,2.417222222,B
M-130,2017-04-17T21:18:36Z,73.14638889,2.4075,3
M-130,2017-04-17T22:08:10Z,73.14472222,2.407777778,B
M-130,2017-04-20T19:20:46Z,73.35194444,2.3875,2
M-130,2017-04-20T19:24:01Z,73.34916667,2.385555556,1
M-130,2017-04-23T19:48:38Z,73.19555556,2.346666667,1
M-130,2017-04-23T22:26:58Z,73.19888889,2.343333333,B
M-130,2017-04-24T22:16:19Z,73.215,2.342222222,B
M-130,2017-04-25T20:04:53Z,73.17472222,2.385833333,B
M-130,2017-04-25T20:11:44Z,73.17333333,2.385833333,B
M-130,2017-04-25T22:43:44Z,73.1125,2.368055556,B
M-130,2017-04-28T19:19:52Z,73.1775,2.385,B
M-130,2017-04-28T19:19:52Z,73.17555556,2.391388889,B
M-130,2017-04-28T19:36:36Z,73.17361111,2.384166667,B
M-130,2017-04-28T20:51:28Z,73.17444444,2.361111111,A
M-130,2017-04-29T21:26:25Z,73.19361111,2.352777778,1
M-130,2017-05-07T03:11:30Z,72.9458,2.44498,3
M-130,2017-05-07T03:11:30Z,72.9458,2.44498,3
M-130,2017-05-08T18:30:35Z,72.80304,2.40944,B
M-130,2017-05-09T06:07:08Z,72.86739,2.68885,B
M-130,2017-05-09T06:19:44Z,73.04384,2.76186,A
M-130,2017-05-09T07:09:11Z,73.02415,2.76388,3
M-130,2017-05-09T08:00:11Z,73.01739,2.76914,B
M-130,2017-05-09T18:34:45Z,73.04845,2.91319,1
M-130,2017-05-09T19:00:18Z,73.04658,2.91633,B
M-130,2017-05-09T19:46:55Z,73.03963,2.91041,B
M-130,2017-05-10T08:58:43Z,72.98247,3.12417,B
M-130,2017-05-11T18:40:49Z,72.89236,3.32604,1
M-130,2017-05-11T19:06:01Z,72.92181,3.34258,B
M-130,2017-05-12T18:40:18Z,72.85765,3.3184,1
M-130,2017-05-12T18:46:58Z,72.85353,3.31653,3
M-130,2017-05-14T19:26:50Z,72.90106,3.23724,1
M-130,2017-05-14T19:45:02Z,72.89857,3.21176,2
M-130,2017-05-14T20:18:02Z,72.89698,3.211,2
M-130,2017-05-15T19:03:31Z,72.85603,3.31591,1
M-130,2017-05-15T19:03:31Z,72.85603,3.31591,1
M-130,2017-05-15T19:32:45Z,72.8618,3.31551,3
M-130,2017-05-15T19:57:26Z,72.86311,3.31612,B
M-130,2017-05-15T20:48:36Z,72.87708,3.31356,A
M-130,2017-05-16T19:20:50Z,72.97477,3.3024,3
M-130,2017-05-16T20:27:56Z,72.97774,3.3029,B
M-130,2017-05-17T19:08:54Z,73.03085,3.25378,1
M-130,2017-05-17T19:29:03Z,73.02344,3.25766,2
M-130,2017-05-17T19:48:58Z,73.01952,3.25394,A
M-130,2017-05-17T20:59:16Z,73.02189,3.25659,2
M-130,2017-05-18T19:00:45Z,73.07422,3.288,B
M-130,2017-05-18T19:00:45Z,73.03754,3.2824,B
M-130,2017-05-18T21:31:05Z,72.98253,3.29721,2
M-130,2017-05-19T19:00:43Z,72.88424,3.26169,B
M-130,2017-05-19T20:14:13Z,73.02618,3.26962,1
M-130,2017-05-19T20:28:37Z,73.02474,3.24562,1
M-130,2017-05-20T19:33:52Z,72.95931,3.28179,1
M-130,2017-05-20T19:52:34Z,72.97801,3.28173,B
M-130,2017-05-20T20:16:54Z,73.00643,3.29535,2
M-130,2017-05-21T19:03:32Z,72.95825,3.24763,B
M-130,2017-05-21T20:08:59Z,73.01882,3.22611,B
M-130,2017-05-22T18:34:39Z,72.96788,3.27333,1
M-130,2017-05-22T19:21:49Z,73.00426,3.27587,B
M-130,2017-05-22T20:57:07Z,72.98975,3.30312,2
M-130,2017-05-23T01:47:27Z,73.0422,3.30491,B
M-130,2017-05-23T18:56:08Z,73.00893,3.25876,3
M-130,2017-05-23T20:30:44Z,73.01493,3.27127,1
M-130,2017-05-24T19:03:21Z,72.99228,3.28747,1
M-130,2017-05-24T19:03:21Z,72.99228,3.28747,1
M-130,2017-05-24T19:28:31Z,73.01309,3.2926,0
M-130,2017-05-24T21:46:56Z,72.94988,3.32662,3
M-130,2017-05-24T22:41:09Z,72.94714,3.33965,A
M-130,2017-05-25T23:08:18Z,72.95538,3.28707,0
M-130,2017-05-28T07:41:17Z,72.80398,3.26989,B
M-130,2017-05-28T21:23:49Z,72.9754,3.30182,2
M-130,2017-05-28T22:02:20Z,72.98253,3.30354,2
M-130,2017-05-29T20:55:58Z,72.94629,3.32272,0
M-130,2017-05-29T21:42:07Z,72.97533,3.31535,3
M-130,2017-05-30T19:59:51Z,72.97613,3.30156,2
M-130,2017-05-30T21:28:13Z,72.97155,3.31272,3
M-130,2017-06-03T18:56:42Z,72.9649,3.63401,3
M-130,2017-06-03T18:56:42Z,72.9649,3.63401,3
M-130,2017-06-03T21:48:57Z,72.9775,3.6713,B
M-130,2017-06-04T19:00:55Z,72.95939,3.59361,0
M-130,2017-06-04T19:05:14Z,72.95989,3.59353,B
M-130,2017-06-05T02:38:18Z,72.97604,3.6156,B
M-130,2017-06-05T18:38:57Z,73.07505,3.58702,0
M-130,2017-06-05T18:38:57Z,73.07505,3.58702,0
M-130,2017-06-05T21:05:31Z,73.03239,3.62532,B
M-130,2017-06-06T04:14:35Z,73.01858,3.63269,B
M-130,2017-06-06T04:53:40Z,72.93576,3.53721,A
M-130,2017-06-06T18:37:19Z,72.86986,3.48743,1
M-130,2017-06-06T19:00:03Z,72.87385,3.48946,1
M-130,2017-06-07T03:58:33Z,72.88368,3.48587,B
M-130,2017-06-07T16:49:29Z,72.83675,3.44079,A
M-130,2017-06-07T19:22:21Z,72.80759,3.45846,2
M-130,2017-06-08T03:43:59Z,72.81738,3.47001,1
M-130,2017-06-08T04:44:11Z,72.80434,3.46463,B
M-130,2017-06-08T19:02:11Z,72.81191,3.4716,B
M-130,2017-06-09T19:13:46Z,72.74293,3.51137,A
M-130,2017-06-09T20:32:18Z,72.72824,3.4948,B
M-130,2017-06-09T21:15:15Z,72.66103,3.49198,0
M-130,2017-06-10T19:30:51Z,72.80478,3.46701,1
M-130,2017-06-10T19:46:50Z,72.80482,3.46696,B
M-130,2017-06-11T19:20:15Z,72.79361,3.46969,3
