"ANIMALID","DATE","LONGITUDE","LATITUDE","ARGOSCLASS"
"M-130","2017-03-28 20:30:00.000","73.3491333","2.3949","3"
"M-130","2017-03-30 10:10:16.000","73.36305555555556","2.3966666666666665","2"
"M-130","2017-03-31 06:54:54.000","73.365","2.408333333333333","B"
"M-130","2017-04-04 19:40:00.000","73.3491333","2.3949","3"
"M-130","2017-04-05 07:37:12.000","73.34472222222222","2.4255555555555555","3"
"M-130","2017-04-07 08:51:29.000","73.24083333333333","2.32","B"
"M-130","2017-04-09 14:44:28.000","73.25944444444444","2.3066666666666666","B"
"M-130","2017-04-14 20:32:30.000","73.27638888888889","2.415","B"
"M-130","2017-04-14 20:43:05.000","73.20944444444444","2.3819444444444446","2"
"M-130","2017-04-15 19:23:08.000","73.2136111111111","2.374722222222222","2"
"M-130","2017-04-15 19:47:22.000","73.2075","2.37","1"
"M-130","2017-04-15 20:16:03.000","73.22277777777778","2.37","1"
"M-130","2017-04-15 20:18:04.000","73.22277777777778","2.37","B"
"M-130","2017-04-16 19:21:14.000","73.20944444444444","2.368611111111111","B"
"M-130","2017-04-16 22:27:25.000","73.20972222222223","2.3680555555555554","B"
"M-130","2017-04-17 17:22:59.000","73.14611111111111","2.417222222222222","B"
"M-130","2017-04-17 21:18:36.000","73.1463888888889","2.4074999999999998","3"
"M-130","2017-04-17 22:08:10.000","73.14472222222223","2.4077777777777776","B"
"M-130","2017-04-20 19:20:46.000","73.35194444444444","2.3875","2"
"M-130","2017-04-20 19:24:01.000","73.34916666666666","2.3855555555555554","1"
"M-130","2017-04-23 19:48:38.000","73.19555555555556","2.3466666666666667","1"
"M-130","2017-04-23 22:26:58.000","73.19888888888889","2.3433333333333333","B"
"M-130","2017-04-24 22:16:19.000","73.215","2.3422222222222224","B"
"M-130","2017-04-25 20:04:53.000","73.17472222222223","2.3858333333333333","B"
"M-130","2017-04-25 20:11:44.000","73.17333333333333","2.3858333333333333","B"
"M-130","2017-04-25 22:43:44.000","73.1125","2.3680555555555554","B"
"M-130","2017-04-28 19:19:52.000","73.1775","2.385","B"
"M-130","2017-04-28 19:19:52.000","73.17555555555556","2.391388888888889","B"
"M-130","2017-04-28 19:36:36.000","73.17361111111111","2.3841666666666668","B"
"M-130","2017-04-28 20:51:28.000","73.17444444444445","2.361111111111111","A"
"M-130","2017-04-29 21:26:25.000","73.19361111111111","2.352777777777778","1"
"M-130","2017-05-07 03:11:30.000","72.9458","2.44498","3"
"M-130","2017-05-07 03:11:30.000","72.9458","2.44498","3"
"M-130","2017-05-08 18:30:35.000","72.80304","2.40944","B"
"M-130","2017-05-09 06:07:08.000","72.86739","2.68885","B"
"M-130","2017-05-09 06:19:44.000","73.04384","2.76186","A"
"M-130","2017-05-09 07:09:11.000","73.02415","2.76388","3"
"M-130","2017-05-09 08:00:11.000","73.01739","2.76914","B"
"M-130","2017-05-09 18:34:45.000","73.04845","2.91319","1"
"M-130","2017-05-09 19:00:18.000","73.04658","2.91633","B"
"M-130","2017-05-09 19:46:55.000","73.03963","2.91041","B"
"M-130","2017-05-10 08:58:43.000","72.98247","3.12417","B"
"M-130","2017-05-11 18:40:49.000","72.89236","3.32604","1"
"M-130","2017-05-11 19:06:01.000","72.92181","3.34258","B"
"M-130","2017-05-12 18:40:18.000","72.85765","3.3184","1"
"M-130","2017-05-12 18:46:58.000","72.85353","3.31653","3"
"M-130","2017-05-14 19:26:50.000","72.90106","3.23724","1"
"M-130","2017-05-14 19:45:02.000","72.89857","3.21176","2"
"M-130","2017-05-14 20:18:02.000","72.89698","3.211","2"
"M-130","2017-05-15 19:03:31.000","72.85603","3.31591","1"
"M-130","2017-05-15 19:03:31.000","72.85603","3.31591","1"
"M-130","2017-05-15 19:32:45.000","72.8618","3.31551","3"
"M-130","2017-05-15 19:57:26.000","72.86311","3.31612","B"
"M-130","2017-05-15 20:48:36.000","72.87708","3.31356","A"
"M-130","2017-05-16 19:20:50.000","72.97477","3.3024","3"
"M-130","2017-05-16 20:27:56.000","72.97774","3.3029","B"
"M-130","2017-05-17 19:08:54.000","73.03085","3.25378","1"
"M-130","2017-05-17 19:29:03.000","73.02344","3.25766","2"
"M-130","2017-05-17 19:48:58.000","73.01952","3.25394","A"
"M-130","2017-05-17 20:59:16.000","73.02189","3.25659","2"
"M-130","2017-05-18 19:00:45.000","73.07422","3.288","B"
"M-130","2017-05-18 19:00:45.000","73.03754","3.2824","B"
"M-130","2017-05-18 21:31:05.000","72.98253","3.29721","2"
"M-130","2017-05-19 19:00:43.000","72.88424","3.26169","B"
"M-130","2017-05-19 20:14:13.000","73.02618","3.26962","1"
"M-130","2017-05-19 20:28:37.000","73.02474","3.24562","1"
"M-130","2017-05-20 19:33:52.000","72.95931","3.28179","1"
"M-130","2017-05-20 19:52:34.000","72.97801","3.28173","B"
"M-130","2017-05-20 20:16:54.000","73.00643","3.29535","2"
"M-130","2017-05-21 19:03:32.000","72.95825","3.24763","B"
"M-130","2017-05-21 20:08:59.000","73.01882","3.22611","B"
"M-130","2017-05-22 18:34:39.000","72.96788","3.27333","1"
"M-130","2017-05-22 19:21:49.000","73.00426","3.27587","B"
"M-130","2017-05-22 20:57:07.000","72.98975","3.30312","2"
"M-130","2017-05-23 01:47:27.000","73.0422","3.30491","B"
"M-130","2017-05-23 18:56:08.000","73.00893","3.25876","3"
"M-130","2017-05-23 20:30:44.000","73.01493","3.27127","1"
"M-130","2017-05-24 19:03:21.000","72.99228","3.28747","1"
"M-130","2017-05-24 19:03:21.000","72.99228","3.28747","1"
"M-130","2017-05-24 19:28:31.000","73.01309","3.2926","0"
"M-130","2017-05-24 21:46:56.000","72.94988","3.32662","3"
"M-130","2017-05-24 22:41:09.000","72.94714","3.33965","A"
"M-130","2017-05-25 23:08:18.000","72.95538","3.28707","0"
"M-130","2017-05-28 07:41:17.000","72.80398","3.26989","B"
"M-130","2017-05-28 21:23:49.000","72.9754","3.30182","2"
"M-130","2017-05-28 22:02:20.000","72.98253","3.30354","2"
"M-130","2017-05-29 20:55:58.000","72.94629","3.32272","0"
"M-130","2017-05-29 21:42:07.000","72.97533","3.31535","3"
"M-130","2017-05-30 19:59:51.000","72.97613","3.30156","2"
"M-130","2017-05-30 21:28:13.000","72.97155","3.31272","3"
"M-130","2017-06-03 18:56:42.000","72.9649","3.63401","3"
"M-130","2017-06-03 18:56:42.000","72.9649","3.63401","3"
"M-130","2017-06-03 21:48:57.000","72.9775","3.6713","B"
"M-130","2017-06-04 19:00:55.000","72.95939","3.59361","0"
"M-130","2017-06-04 19:05:14.000","72.95989","3.59353","B"
"M-130","2017-06-05 02:38:18.000","72.97604","3.6156","B"
"M-130","2017-06-05 18:38:57.000","73.07505","3.58702","0"
"M-130","2017-06-05 18:38:57.000","73.07505","3.58702","0"
